tox_cas_edf_id,tox_chemical_name,tox_references,tox_toxicity,tox_category
100-42-5,STYRENE,"EPA-HEN, HAZMAP, IARC, NTP-BR, P65-CAND",cancer,suspected
100-42-5,STYRENE,"EPA-HEN, HAZMAP, OEHHA-AREL, RTECS",respiratory,suspected
100-42-5,STYRENE,"EPA-HEN, HAZMAP, OEHHA-AREL, RTECS",skin sense,suspected
100-42-5,STYRENE,"EPA-SARA, JANK",developmental,suspected
100-42-5,STYRENE,FRAZIER,reproductive,suspected
100-42-5,STYRENE,HAZMAP,immunotoxicity,suspected
100-42-5,STYRENE,RTECS,cardiovascular blood,suspected
100-42-5,STYRENE,STAC,kidney,suspected
100-43-6,"Pyridine, 4-ethenyl-",RTECS,neurotoxicity,suspected
100-43-6,"Pyridine, 4-ethenyl-",RTECS,respiratory,suspected
100-44-7,BENZYL CHLORIDE,"EPA-HEN, EPA-SARA",neurotoxicity,suspected
100-44-7,BENZYL CHLORIDE,"EPA-HEN, OEHHA-AREL",skin sense,suspected
100-44-7,BENZYL CHLORIDE,"EPA-HEN, OEHHA-AREL, RTECS",respiratory,suspected
100-44-7,BENZYL CHLORIDE,EPA-SARA,developmental,suspected
100-44-7,BENZYL CHLORIDE,P65,cancer,recognized
100-44-7,BENZYL CHLORIDE,RTECS,cardiovascular blood,suspected
100-44-7,BENZYL CHLORIDE,RTECS,gastrointestinal liver,suspected
100-47-0,BENZONITRILE,RTECS,neurotoxicity,suspected
100-51-6,BENZYL ALCOHOL,"HARV, HAZMAP",skin sense,suspected
100-51-6,BENZYL ALCOHOL,HAZMAP,immunotoxicity,suspected
100-51-6,BENZYL ALCOHOL,RTECS,gastrointestinal liver,suspected
100-51-6,BENZYL ALCOHOL,RTECS,neurotoxicity,suspected
100-52-7,ALMOND ARTIFICIAL ESSENTIAL OIL,RTECS,gastrointestinal liver,suspected
100-52-7,ALMOND ARTIFICIAL ESSENTIAL OIL,RTECS,kidney,suspected
100-52-7,ALMOND ARTIFICIAL ESSENTIAL OIL,RTECS,neurotoxicity,suspected
100-52-7,ALMOND ARTIFICIAL ESSENTIAL OIL,RTECS,respiratory,suspected
100-52-7,ALMOND ARTIFICIAL ESSENTIAL OIL,RTECS,skin sense,suspected
100-53-8,(MERCAPTOMETHYL)BENZENE,RTECS,neurotoxicity,suspected
100-53-8,(MERCAPTOMETHYL)BENZENE,RTECS,respiratory,suspected
100-61-8,METHYLANILINE,"DAN, RTECS",neurotoxicity,suspected
100-61-8,METHYLANILINE,HAZMAP,cardiovascular blood,suspected
100-61-8,METHYLANILINE,RTECS,respiratory,suspected
100-63-0,PHENYLHYDRAZINE,"DAN, RTECS",neurotoxicity,suspected
100-63-0,PHENYLHYDRAZINE,HAZMAP,skin sense,suspected
100-63-0,PHENYLHYDRAZINE,"HAZMAP, MALA",cardiovascular blood,suspected
100-63-0,PHENYLHYDRAZINE,"HAZMAP, SNCI",immunotoxicity,suspected
100-63-0,PHENYLHYDRAZINE,P65,cancer,recognized
100-75-4,N-NITROSOPIPERIDINE,P65,cancer,recognized
100-75-4,N-NITROSOPIPERIDINE,RTECS,gastrointestinal liver,suspected
100-75-4,N-NITROSOPIPERIDINE,RTECS,respiratory,suspected
100-97-0,"1,3,5,7-TETRAAZAADAMANTANE",HAZMAP,immunotoxicity,suspected
100-97-0,"1,3,5,7-TETRAAZAADAMANTANE",HAZMAP,respiratory,suspected
100-97-0,"1,3,5,7-TETRAAZAADAMANTANE",HAZMAP,skin sense,suspected
1002-53-5,DIBUTYLTIN,ATSDR,immunotoxicity,suspected
10024-97-2,NITROUS OXIDE,FRAZIER,reproductive,suspected
10024-97-2,NITROUS OXIDE,HAZMAP,respiratory,suspected
10024-97-2,NITROUS OXIDE,"HAZMAP, RTECS",neurotoxicity,suspected
10024-97-2,NITROUS OXIDE,JANK,developmental,suspected
10024-97-2,NITROUS OXIDE,RTECS,cardiovascular blood,suspected
10025-67-9,SULFUR CHLORIDE (MONO),HAZMAP,respiratory,suspected
10025-67-9,SULFUR CHLORIDE (MONO),HAZMAP,skin sense,suspected
10025-87-3,PHOSPHORUS OXYCHLORIDE,HAZMAP,kidney,suspected
10025-87-3,PHOSPHORUS OXYCHLORIDE,"HAZMAP, RTECS",respiratory,suspected
10025-87-3,PHOSPHORUS OXYCHLORIDE,"HAZMAP, RTECS",skin sense,suspected
10025-87-3,PHOSPHORUS OXYCHLORIDE,RTECS,neurotoxicity,suspected
10025-91-9,ANTIMONY TRICHLORIDE,RTECS,gastrointestinal liver,suspected
10025-91-9,ANTIMONY TRICHLORIDE,RTECS,neurotoxicity,suspected
10025-91-9,ANTIMONY TRICHLORIDE,RTECS,respiratory,suspected
10026-13-8,PHOSPHORUS PENTACHLORIDE,HAZMAP,respiratory,suspected
10026-13-8,PHOSPHORUS PENTACHLORIDE,HAZMAP,skin sense,suspected
10026-24-1,Cobalt sulfate heptahydrate,P65,cancer,recognized
10026-24-1,Cobalt sulfate heptahydrate,RTECS,endocrine,suspected
10026-24-1,Cobalt sulfate heptahydrate,RTECS,respiratory,suspected
10027-06-2,"8,9,10-TRINORBORN-2-YL ACRYLATE",EEC,skin sense,suspected
10027-06-2,"8,9,10-TRINORBORN-2-YL ACRYLATE","EEC, SNCI",immunotoxicity,suspected
10028-15-6,OZONE,CAA-AQC,gastrointestinal liver,suspected
10028-15-6,OZONE,"CAA-AQC, HAZMAP, KLAA, LADO, LU, OEHHA-AREL, RTECS",respiratory,suspected
10028-15-6,OZONE,"CAA-AQC, KLAA, RTECS",cardiovascular blood,suspected
10028-15-6,OZONE,"DAN, RTECS",neurotoxicity,suspected
10028-15-6,OZONE,IPCS,immunotoxicity,suspected
10028-15-6,OZONE,"OEHHA-AREL, RTECS",skin sense,suspected
10028-17-8,TRITIUM,P65-MC,cancer,recognized
10031-13-7,LEAD ARSENITE,P65-MC,cancer,recognized
10031-13-7,LEAD ARSENITE,P65-MC,developmental,recognized
10031-13-7,LEAD ARSENITE,P65-MC,reproductive,recognized
10034-93-2,HYDRAZINE SULFATE,P65,cancer,recognized
10034-93-2,HYDRAZINE SULFATE,RTECS,gastrointestinal liver,suspected
10034-93-2,HYDRAZINE SULFATE,RTECS,neurotoxicity,suspected
10034-93-2,HYDRAZINE SULFATE,RTECS,respiratory,suspected
10035-10-6,HYDROBROMIDE ACID,HAZMAP,respiratory,suspected
10035-10-6,HYDROBROMIDE ACID,HAZMAP,skin sense,suspected
10039-54-0,"HYDROXYLAMINE, SULFATE (2:1)",RTECS,neurotoxicity,suspected
10039-54-0,"HYDROXYLAMINE, SULFATE (2:1)",RTECS,respiratory,suspected
10043-35-3,BORIC ACID,"FRAZIER, JANK, NTP-R",reproductive,suspected
10043-35-3,BORIC ACID,RTECS,cardiovascular blood,suspected
10043-35-3,BORIC ACID,RTECS,gastrointestinal liver,suspected
10043-35-3,BORIC ACID,RTECS,kidney,suspected
10043-35-3,BORIC ACID,RTECS,neurotoxicity,suspected
10043-35-3,BORIC ACID,RTECS,respiratory,suspected
10043-35-3,BORIC ACID,RTECS,skin sense,suspected
10043-49-9,AU-198,P65-MC,cancer,recognized
10043-52-4,Calcium chloride (CaCl2),RTECS,cardiovascular blood,suspected
10043-66-0,IODINE-131,BRUC,endocrine,suspected
10043-66-0,IODINE-131,P65,developmental,recognized
10043-66-0,IODINE-131,P65-MC,cancer,recognized
10043-92-2,RADON,"EPA-HEN, HAZMAP, NTP-C",cancer,suspected
10043-92-2,RADON,HAZMAP,respiratory,suspected
10045-94-0,MERCURIC NITRATE,P65-MC,developmental,recognized
10045-97-3,CAESIUM-137,P65-MC,cancer,recognized
10045-97-3(+D),CS-137+D,P65-MC,cancer,recognized
10048-13-2,STERIGMATOCYSTIN,P65,cancer,recognized
10048-13-2,STERIGMATOCYSTIN,RTECS,gastrointestinal liver,suspected
10049-04-4,CHLORINE DIOXIDE,"ATSDR, HAZMAP, OEHHA-CREL",respiratory,suspected
10049-04-4,CHLORINE DIOXIDE,"EPA-SARA, FRAZIER",reproductive,suspected
10049-04-4,CHLORINE DIOXIDE,"EPA-SARA, JANK",developmental,suspected
10049-04-4,CHLORINE DIOXIDE,HAZMAP,skin sense,suspected
10049-14-6,Uranium fluoride (UF4),RTECS,cardiovascular blood,suspected
10049-14-6,Uranium fluoride (UF4),RTECS,kidney,suspected
10061-01-5,"CIS-1,3-DICHLOROPROPENE",P65-MC,cancer,recognized
10061-02-6,"TRANS-1,3-DICHLOROPROPENE",P65-MC,cancer,recognized
10098-91-6,Y-90,P65-MC,cancer,recognized
10098-97-2,STRONTIUM-90,P65-MC,cancer,recognized
10098-97-2(+D),SR-90+D,P65-MC,cancer,recognized
10099-74-8,LEAD NITRATE,P65-MC,cancer,recognized
10099-74-8,LEAD NITRATE,P65-MC,developmental,recognized
10099-74-8,LEAD NITRATE,P65-MC,reproductive,recognized
10099-76-0,"Silicic acid, lead(2+) salt (1:1)",RTECS,cardiovascular blood,suspected
10099-76-0,"Silicic acid, lead(2+) salt (1:1)",RTECS,immunotoxicity,suspected
101-05-3,ANILAZINE,EPA-TRI,developmental,suspected
101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE)","ATSDR, EPA-HEN",gastrointestinal liver,suspected
101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE)",EPA-HEN,kidney,suspected
101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE)","EPA-HEN, RTECS",skin sense,suspected
101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE)",HAZMAP,cardiovascular blood,suspected
101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE)",P65,cancer,recognized
101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE)",RTECS,neurotoxicity,suspected
101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE)",RTECS,respiratory,suspected
101-21-3,CHLOROPROPHAM,DPR-CIP,neurotoxicity,suspected
101-21-3,CHLOROPROPHAM,RTECS,skin sense,suspected
101-27-9,BARBAN,"EEC, HAZMAP",immunotoxicity,suspected
101-27-9,BARBAN,"EEC, HAZMAP",skin sense,suspected
101-37-1,"1,3,5-Triazine, 2,4,6-tris(2-propenyloxy)-",RTECS,neurotoxicity,suspected
101-42-8,FENURON,RTECS,cardiovascular blood,suspected
101-54-2,"1,4-BENZENEDIAMINE, N-PHENYL-",HAZMAP,immunotoxicity,suspected
101-54-2,"1,4-BENZENEDIAMINE, N-PHENYL-",HAZMAP,skin sense,suspected
101-54-2,"1,4-BENZENEDIAMINE, N-PHENYL-",RTECS,cardiovascular blood,suspected
101-61-1,"4,4'-METHYLENEBIS(N,N-DIMETHYL)BENZENAMINE",P65,cancer,recognized
101-68-8,"1,1'-METHYLENEBIS(4-ISOCYANATOBENZENE)","EEC, EPA-HEN, EPA-TRI, HAZMAP, OEHHA-CREL",respiratory,suspected
101-68-8,"1,1'-METHYLENEBIS(4-ISOCYANATOBENZENE)","EEC, EPA-HEN, HAZMAP, RTECS, SNCI",immunotoxicity,suspected
101-68-8,"1,1'-METHYLENEBIS(4-ISOCYANATOBENZENE)","EPA-HEN, HAZMAP",skin sense,suspected
101-72-4,"1,4-BENZENEDIAMINE, N-(1-METHYLETHYL)-N'-PHENYL-",SNCI,immunotoxicity,suspected
101-77-9,"4,4'-METHYLENEDIANILINE","ATSDR, DOSS, EPA-HEN, HAZMAP, KLAA, LADO, OEHHA-CREL, RTECS, ZIMM",gastrointestinal liver,suspected
101-77-9,"4,4'-METHYLENEDIANILINE","EPA-HEN, HAZMAP, OEHHA-CREL",skin sense,suspected
101-77-9,"4,4'-METHYLENEDIANILINE","HAZMAP, NAP, SNCI",immunotoxicity,suspected
101-77-9,"4,4'-METHYLENEDIANILINE",P65,cancer,recognized
101-77-9,"4,4'-METHYLENEDIANILINE",RTECS,cardiovascular blood,suspected
101-77-9,"4,4'-METHYLENEDIANILINE",RTECS,kidney,suspected
101-77-9,"4,4'-METHYLENEDIANILINE",RTECS,neurotoxicity,suspected
101-79-1,4-CHLORO-4'-AMINODIPHENYLETHER,CPDB,cancer,suspected
101-80-4,"4,4'-DIAMINODIPHENYL ETHER",P65,cancer,recognized
101-80-4,"4,4'-DIAMINODIPHENYL ETHER",RTECS,cardiovascular blood,suspected
101-80-4,"4,4'-DIAMINODIPHENYL ETHER",RTECS,endocrine,suspected
101-80-4,"4,4'-DIAMINODIPHENYL ETHER",RTECS,gastrointestinal liver,suspected
101-84-8,"PHENYL ETHER, VAPOR",DAN,neurotoxicity,suspected
101-90-6,DIGLYCIDYL RESORCINOL ETHER (DGRE),EEC,skin sense,suspected
101-90-6,DIGLYCIDYL RESORCINOL ETHER (DGRE),"EEC, SNCI",immunotoxicity,suspected
101-90-6,DIGLYCIDYL RESORCINOL ETHER (DGRE),P65,cancer,recognized
101-90-6,DIGLYCIDYL RESORCINOL ETHER (DGRE),RTECS,gastrointestinal liver,suspected
101-90-6,DIGLYCIDYL RESORCINOL ETHER (DGRE),RTECS,neurotoxicity,suspected
10101-53-8,CHROMIC SULFATE,P65-MC,cancer,recognized
10101-63-0,LEAD IODIDE,P65-MC,cancer,recognized
10101-63-0,LEAD IODIDE,P65-MC,developmental,recognized
10101-63-0,LEAD IODIDE,P65-MC,reproductive,recognized
10101-97-0,NICKEL (NICKEL SULFATE HEXAHYDRATE),P65-MC,cancer,recognized
10101-97-0,NICKEL (NICKEL SULFATE HEXAHYDRATE),RTECS,cardiovascular blood,suspected
10101-97-0,NICKEL (NICKEL SULFATE HEXAHYDRATE),RTECS,gastrointestinal liver,suspected
10101-97-0,NICKEL (NICKEL SULFATE HEXAHYDRATE),RTECS,respiratory,suspected
10102-18-8,SODIUM SELENITE (H2O3SE.2NA),OEHHA-CREL,neurotoxicity,suspected
10102-18-8,SODIUM SELENITE (H2O3SE.2NA),"OEHHA-CREL, RTECS",cardiovascular blood,suspected
10102-18-8,SODIUM SELENITE (H2O3SE.2NA),"OEHHA-CREL, RTECS",gastrointestinal liver,suspected
10102-18-8,SODIUM SELENITE (H2O3SE.2NA),RTECS,kidney,suspected
10102-18-8,SODIUM SELENITE (H2O3SE.2NA),RTECS,respiratory,suspected
10102-20-2,SODIUM TELLURITE,RTECS,cardiovascular blood,suspected
10102-20-2,SODIUM TELLURITE,RTECS,gastrointestinal liver,suspected
10102-20-2,SODIUM TELLURITE,RTECS,neurotoxicity,suspected
10102-20-2,SODIUM TELLURITE,RTECS,respiratory,suspected
10102-43-9,NITRIC OXIDE,"HAZMAP, KLAA, RTECS",cardiovascular blood,suspected
10102-43-9,NITRIC OXIDE,RTECS,neurotoxicity,suspected
10102-43-9,NITRIC OXIDE,RTECS,respiratory,suspected
10102-44-0,NITROGEN DIOXIDE,CAA-AQC,developmental,suspected
10102-44-0,NITROGEN DIOXIDE,"CAA-AQC, DAN, RTECS",neurotoxicity,suspected
10102-44-0,NITROGEN DIOXIDE,"CAA-AQC, HAZMAP, LADO, OEHHA-AREL, OEHHA-CREL, RTECS",respiratory,suspected
10102-44-0,NITROGEN DIOXIDE,"CAA-AQC, IPCS, RTECS",immunotoxicity,suspected
10102-44-0,NITROGEN DIOXIDE,"CAA-AQC, RTECS",cardiovascular blood,suspected
10102-44-0,NITROGEN DIOXIDE,JANK,reproductive,suspected
10102-44-0,NITROGEN DIOXIDE,"KLAA, RTECS",skin sense,suspected
10102-44-0,NITROGEN DIOXIDE,RTECS,endocrine,suspected
10102-45-1,"NITRIC ACID, THALLIUM(1+) SALT",RTECS,gastrointestinal liver,suspected
10103-50-1,MAGNESIUM ARSENATE,P65-MC,cancer,recognized
10103-50-1,MAGNESIUM ARSENATE,P65-MC,developmental,recognized
10103-50-1,MAGNESIUM ARSENATE,RTECS,gastrointestinal liver,suspected
10103-61-4,COPPER ARSENATE,P65-MC,cancer,recognized
10103-61-4,COPPER ARSENATE,P65-MC,developmental,recognized
10108-64-2,CADMIUM CHLORIDE,JANK,developmental,suspected
10108-64-2,CADMIUM CHLORIDE,P65-MC,cancer,recognized
10108-64-2,CADMIUM CHLORIDE,RTECS,cardiovascular blood,suspected
10108-64-2,CADMIUM CHLORIDE,RTECS,endocrine,suspected
10108-64-2,CADMIUM CHLORIDE,RTECS,gastrointestinal liver,suspected
10108-64-2,CADMIUM CHLORIDE,RTECS,kidney,suspected
10108-64-2,CADMIUM CHLORIDE,RTECS,respiratory,suspected
10118-90-8,MINOCYCLINE,KLAA,skin sense,suspected
10118-90-8,MINOCYCLINE,RTECS,kidney,suspected
101200-48-0,TRIBENURON METHYL,EPA-TRI,gastrointestinal liver,suspected
101200-48-0,TRIBENURON METHYL,EPA-TRI,kidney,suspected
101200-48-0,TRIBENURON METHYL,OPP-CAN,cancer,suspected
10124-36-4,CADMIUM SULFATE,P65-MC,cancer,recognized
10124-43-3,COBALT(II) SULFATE (1:1),RTECS,neurotoxicity,suspected
10124-50-2,POTASSIUM ARSENITE  (ASH3O4.XK),P65-MC,cancer,recognized
10124-50-2,POTASSIUM ARSENITE  (ASH3O4.XK),P65-MC,developmental,recognized
10124-50-2,POTASSIUM ARSENITE  (ASH3O4.XK),RTECS,cardiovascular blood,suspected
10124-50-2,POTASSIUM ARSENITE  (ASH3O4.XK),RTECS,gastrointestinal liver,suspected
10124-50-2,POTASSIUM ARSENITE  (ASH3O4.XK),RTECS,skin sense,suspected
10124-56-8,sodium hexametaphospate,RTECS,neurotoxicity,suspected
1014-70-6,SIMETRYNE,RTECS,gastrointestinal liver,suspected
10182-82-8,MIMOSINE (LEUCENOL),LU,skin sense,suspected
10198-40-0,COBALT-60,P65-MC,cancer,recognized
102-06-7,"1,3-DIFENYLGUANID",KLAA,skin sense,suspected
102-06-7,"1,3-DIFENYLGUANID",RTECS,neurotoxicity,suspected
102-54-5,DICYCLOPENTADIENYL IRON,RTECS,endocrine,suspected
102-54-5,DICYCLOPENTADIENYL IRON,RTECS,gastrointestinal liver,suspected
102-71-6,TRIETHANOLAMINE,HAZMAP,immunotoxicity,suspected
102-71-6,TRIETHANOLAMINE,HAZMAP,respiratory,suspected
102-71-6,TRIETHANOLAMINE,HAZMAP,skin sense,suspected
10210-68-1,COBALT CARBONYL,DAN,neurotoxicity,suspected
10210-68-1,COBALT CARBONYL,HAZMAP,cancer,suspected
10210-68-1,COBALT CARBONYL,HAZMAP,skin sense,suspected
10210-68-1,COBALT CARBONYL,"HAZMAP, RTECS",respiratory,suspected
10222-01-2,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",EPA-TRI,respiratory,suspected
1024-57-3,HEPTACHLOR EPOXIDE,"IL-EPA, JNIHS, KEIT, WWF",endocrine,suspected
1024-57-3,HEPTACHLOR EPOXIDE,P65,cancer,recognized
10265-92-6,METHAMIDOPHOS,"DPR-CIP, HAZMAP, MASL, RTECS",neurotoxicity,suspected
10265-92-6,METHAMIDOPHOS,RTECS,skin sense,suspected
10294-33-4,BORON TRIBROMIDE,HAZMAP,respiratory,suspected
10294-33-4,BORON TRIBROMIDE,HAZMAP,skin sense,suspected
10294-40-3,BARIUM CHROMATE,P65-MC,cancer,recognized
103-11-7,"1-HEXANOL, 2-ETHYL-, ACRYLATE","EEC, HAZMAP",skin sense,suspected
103-11-7,"1-HEXANOL, 2-ETHYL-, ACRYLATE","EEC, HAZMAP, NAP, SNCI",immunotoxicity,suspected
103-11-7,"1-HEXANOL, 2-ETHYL-, ACRYLATE",RTECS,neurotoxicity,suspected
103-16-2,HYDROQUINONE MONOBENZYL ETHER,LADO,skin sense,suspected
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,IRIS,cancer,suspected
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,JNIHS,endocrine,suspected
103-27-5,PHENYL MERCURIC PROPIONATE,HARV,skin sense,suspected
103-27-5,PHENYL MERCURIC PROPIONATE,P65-MC,developmental,recognized
103-33-3,AZOBENZENE,P65,cancer,recognized
103-41-3,"2-Propenoic acid, 3-phenyl-, phenylmethyl ester",RTECS,neurotoxicity,suspected
103-65-1,N-PROPYLBENZENE,RTECS,neurotoxicity,suspected
103-71-9,PHENYL ISOCYANATE,SNCI,immunotoxicity,suspected
103-76-4,(BETA-HYDROXYETHYL)PIPERAZINE,RTECS,neurotoxicity,suspected
103-83-3,DIMETHYLBENZYLAMINE,NAP,immunotoxicity,suspected
103-83-3,DIMETHYLBENZYLAMINE,RTECS,neurotoxicity,suspected
103-83-3,DIMETHYLBENZYLAMINE,RTECS,respiratory,suspected
103-84-4,ACETANILIDE,"MALA, RTECS",cardiovascular blood,suspected
103-84-4,ACETANILIDE,RTECS,gastrointestinal liver,suspected
103-84-4,ACETANILIDE,RTECS,kidney,suspected
103-84-4,ACETANILIDE,RTECS,neurotoxicity,suspected
103-84-4,ACETANILIDE,RTECS,respiratory,suspected
103-90-2,ACETAMINOPHEN,CPDB,cancer,suspected
103-90-2,ACETAMINOPHEN,"KLAA, LADO, MALA, RTECS, ZIMM",gastrointestinal liver,suspected
103-90-2,ACETAMINOPHEN,"KLAA, MERCK, RTECS",kidney,suspected
103-90-2,ACETAMINOPHEN,RTECS,cardiovascular blood,suspected
103-90-2,ACETAMINOPHEN,RTECS,neurotoxicity,suspected
103-90-2,ACETAMINOPHEN,RTECS,respiratory,suspected
103-90-2,ACETAMINOPHEN,RTECS,skin sense,suspected
10325-94-7,CADMIUM NITRATE,P65-MC,cancer,recognized
10347-54-3,"1,4-BIS(METHYLISOCYANATE)CYCLOHEXANE",EPA-TRI,respiratory,suspected
10361-37-2,BARIUM CHLORIDE,RTECS,neurotoxicity,suspected
10380-28-6,COPPER (11)-8-HYDROXYQUINOLINE,RTECS,endocrine,suspected
10380-28-6,COPPER (11)-8-HYDROXYQUINOLINE,RTECS,gastrointestinal liver,suspected
10380-28-6,COPPER (11)-8-HYDROXYQUINOLINE,RTECS,neurotoxicity,suspected
10380-28-6,COPPER (11)-8-HYDROXYQUINOLINE,RTECS,respiratory,suspected
104-12-1,P-CHLOROPHENYL ISOCYANATE,RTECS,endocrine,suspected
104-12-1,P-CHLOROPHENYL ISOCYANATE,RTECS,respiratory,suspected
104-12-1,P-CHLOROPHENYL ISOCYANATE,RTECS,skin sense,suspected
104-40-5,4-NONYLPHENOL,"IL-EPA, JNIHS",endocrine,suspected
104-43-8,4-DODECYLPHENOL,JNIHS,endocrine,suspected
104-46-1,1-METHOXY-4-(1-PROPENYL)BENZENE,RTECS,neurotoxicity,suspected
104-49-4,"1,4-PHENYLENE DIISOCYANATE",EPA-TRI,respiratory,suspected
104-51-8,1-BUTYLPROPANE,JNIHS,endocrine,suspected
104-55-2,"2-PROPENAL, 3-PHENYL-","HARV, HAZMAP",skin sense,suspected
104-55-2,"2-PROPENAL, 3-PHENYL-",HAZMAP,immunotoxicity,suspected
104-55-2,"2-PROPENAL, 3-PHENYL-",RTECS,neurotoxicity,suspected
104-76-7,"1-HEXANOL, 2-ETHYL-",JANK,developmental,suspected
104-76-7,"1-HEXANOL, 2-ETHYL-",RTECS,gastrointestinal liver,suspected
104-78-9,3-AMINOPROPYLDIETHYLAMINE,EEC,skin sense,suspected
104-78-9,3-AMINOPROPYLDIETHYLAMINE,"EEC, SNCI",immunotoxicity,suspected
104-88-1,"BENZALDEHYDE, P-CHLORO-",RTECS,neurotoxicity,suspected
104-94-9,P-ANISIDINE,HAZMAP,cardiovascular blood,suspected
104-94-9,P-ANISIDINE,NTP-HS,skin sense,suspected
10415-75-5,MERCUROUS NITRATE,P65-MC,developmental,recognized
10415-75-5,MERCUROUS NITRATE,RTECS,gastrointestinal liver,suspected
10418-03-8,STANOZOLOL,P65,cancer,recognized
104227-87-4,FAMCICLOVIR,P65-CAND,reproductive,suspected
10453-86-8,RESMETHRIN,EPA-TRI,gastrointestinal liver,suspected
10453-86-8,RESMETHRIN,EPA-TRI,neurotoxicity,suspected
10453-86-8,RESMETHRIN,P65,developmental,recognized
10476-85-4,STRONTIUM (STABLE STRONTIUM CHLORIDE),RTECS,cardiovascular blood,suspected
10476-85-4,STRONTIUM (STABLE STRONTIUM CHLORIDE),RTECS,endocrine,suspected
10476-85-4,STRONTIUM (STABLE STRONTIUM CHLORIDE),RTECS,gastrointestinal liver,suspected
10476-85-4,STRONTIUM (STABLE STRONTIUM CHLORIDE),RTECS,neurotoxicity,suspected
105-12-4,p-Dinitrosobenzene,HAZMAP,cardiovascular blood,suspected
105-16-8,(2-(METHACRYLOYLOXY)ETHYL)DIETHYLAMINE,EEC,skin sense,suspected
105-30-6,"1,3-DIMETHYL BUTANOL",RTECS,skin sense,suspected
105-37-3,ETHYL ESTER PROPANOIC ACID,RTECS,respiratory,suspected
105-46-4,SEC-BUTYL ACETATE,HAZMAP,neurotoxicity,suspected
105-55-5,"N,N'-DIETHYLTHIOUREA",P65-CAND,cancer,suspected
